Wall time,Step,Value
1710871385.600525,2262,150.0
1710871408.1636448,2281,152.0
1710871411.915708,2291,152.0
1710871422.5379295,2297,153.0
1710871424.6314464,2303,153.0
1710871425.9438972,2307,153.0
1710871438.5752144,2319,154.0
1710871463.8717256,2345,156.0
1710871466.813763,2354,156.0
1710871502.6924095,2389,159.0
1710871503.0432472,2390,159.0
1710871503.7479753,2392,159.0
1710871543.2020617,2436,162.0
1710871545.8229904,2444,162.0
1710871556.1262805,2451,163.0
1710871556.8181753,2453,163.0
1710871557.5518994,2455,163.0
1710871567.1428564,2460,164.0
1710871583.8965173,2485,165.0
1710871584.203468,2486,165.0
1710871595.6181962,2496,166.0
1710871596.3213253,2498,166.0
1710871597.9458902,2503,166.0
1710871610.4917982,2517,167.0
1710871620.3675587,2523,168.0
1710871623.3984206,2532,168.0
1710871636.4794908,2547,169.0
1710871645.864211,2551,170.0
1710871646.611058,2553,170.0
1710871663.5429285,2578,171.0
1710871687.4542856,2600,173.0
1710871689.5555248,2606,173.0
1710871703.4385443,2623,174.0
1710871713.8084192,2629,175.0
1710871726.7334483,2644,176.0
1710871738.3057497,2655,177.0
1710871754.2930121,2678,178.0
1710871764.508297,2685,179.0
1710871766.2871103,2690,179.0
1710871778.8453505,2703,180.0
1710871781.415512,2710,180.0
1710871794.5702527,2725,181.0
1710871806.5826733,2737,182.0
1710871807.63639,2740,182.0
1710871820.380139,2754,183.0
1710871848.852657,2789,185.0
1710871857.222291,2790,186.0
1710871857.598824,2791,186.0
1710871884.6003416,2824,188.0
1710871924.8019054,2872,191.0
1710871935.661355,2881,192.0
1710871938.778729,2890,192.0
1710871948.597431,2896,193.0
1710871963.685736,2917,194.0
1710871964.4253914,2919,194.0
1710871964.8107271,2920,194.0
1710872005.2777042,2967,197.0
1710872016.1867366,2975,198.0
1710872031.9978004,2998,199.0
1710872044.878713,3011,200.0
1710872058.4913876,3027,201.0
1710872067.6930354,3030,202.0
1710872070.504287,3038,202.0
1710872071.502041,3041,202.0
1710872095.6205714,3065,204.0
1710872097.019393,3069,204.0
1710872097.67735,3071,204.0
1710872124.8416314,3099,206.0
1710872149.0129309,3122,208.0
1710872161.8941472,3137,209.0
1710872176.3556337,3155,210.0
1710872178.4868767,3161,210.0
1710872192.0983915,3177,211.0
1710872214.6859648,3195,213.0
1710872215.0459347,3196,213.0
1710872243.5972998,3230,215.0
1710872255.150704,3240,216.0
1710872256.2834427,3243,216.0
1710872256.6560786,3244,216.0
1710872257.3700535,3246,216.0
1710872257.733175,3247,216.0
1710872282.025871,3272,218.0
1710872309.567526,3305,220.0
1710872312.2395148,3313,220.0
1710872324.9889534,3327,221.0
1710872325.2889555,3328,221.0
1710872347.0652888,3345,223.0
1710872365.2773294,3374,224.0
1710872374.1090317,3376,225.0
1710872377.585957,3386,225.0
1710872391.623753,3403,226.0
1710872401.3565028,3408,227.0
1710872416.7418423,3430,228.0
1710872427.1257384,3438,229.0
1710872430.9499724,3449,229.0
1710872439.563683,3451,230.0
1710872442.0210955,3458,230.0
1710872443.9713142,3464,230.0
1710872454.1651368,3471,231.0
1710872456.1461694,3477,231.0
1710872465.0396595,3480,232.0
1710872478.5667238,3497,233.0
1710872482.86816,3509,233.0
1710872491.735922,3512,234.0
1710872508.1857727,3537,235.0
1710872518.2074661,3543,236.0
1710872519.6110287,3547,236.0
1710872532.9359007,3563,237.0
